Origin,Destination,Carrier,ShipmentType,Weight,Volume,Dimensions,PlannedShipDate,ActualShipDate,PlannedDeliveryDate,ActualDeliveryDate,Status,DeliveryTimeDays
Boston,San Francisco,FedEx,Express,232.8,3.6,48x24x27,2025-05-31,2025-05-31,2025-06-02,2025-06-04,Delivered,4
New York,Denver,UPS,Fragile,166.5,2.9,48x13x13,2025-05-15,2025-05-15,2025-05-22,2025-05-22,Delayed,7
New York,Denver,DHL,Express,51.6,2.5,23x34x19,2025-05-06,2025-05-07,2025-05-09,2025-05-09,Delivered,2
San Diego,Phoenix,FedEx,Express,168.3,2.9,47x36x12,2025-05-22,2025-05-23,2025-05-24,2025-05-24,Delivered,1
San Diego,Miami,UPS,Express,188.9,2.6,45x35x15,2025-05-26,2025-05-26,2025-05-30,2025-05-30,Delivered,4
Houston,Miami,DHL,Standard,283.4,3.7,43x26x17,2025-05-26,2025-05-27,2025-05-29,2025-05-30,Delivered,3
San Diego,Los Angeles,UPS,Fragile,103.6,1.8,35x32x24,2025-05-19,2025-05-19,2025-05-21,2025-05-21,Delivered,2
San Diego,Los Angeles,FedEx,Express,162.3,2.7,50x11x21,2025-05-24,2025-05-25,2025-05-31,2025-05-31,Delivered,6
Miami,Phoenix,UPS,Express,146.6,3.8,18x21x24,2025-05-31,2025-06-01,2025-06-05,2025-06-05,Delivered,4
New York,Las Vegas,UPS,Express,91.3,1.7,45x16x14,2025-05-31,2025-06-01,2025-06-02,2025-06-02,Delivered,1
Boston,Orlando,DHL,Standard,341.4,4.0,45x39x29,2025-05-23,2025-05-23,2025-05-24,2025-05-25,Delivered,2
Dallas,Miami,FedEx,Fragile,238.6,3.3,31x32x27,2025-05-31,2025-05-31,2025-06-05,2025-06-07,Delivered,7
Houston,Austin,FedEx,Fragile,92.3,1.8,29x15x26,2025-05-04,2025-05-04,2025-05-08,2025-05-08,Delayed,4
San Diego,Miami,UPS,Fragile,285.3,5.7,21x22x19,2025-05-01,2025-05-02,2025-05-06,2025-05-08,Delivered,6
New York,Houston,FedEx,Standard,258.6,3.6,23x16x19,2025-05-05,2025-05-05,2025-05-08,2025-05-08,Delivered,3
Houston,Houston,FedEx,Standard,275.2,4.1,47x29x30,2025-05-20,2025-05-20,2025-05-22,2025-05-24,Disrupted,4
Philadelphia,Houston,FedEx,Fragile,128.3,2.8,41x32x22,2025-05-04,2025-05-04,2025-05-06,2025-05-06,Delivered,2
San Diego,Denver,UPS,Fragile,226.5,4.6,44x16x30,2025-05-19,2025-05-19,2025-05-21,2025-05-21,Delivered,2
Houston,Orlando,FedEx,Fragile,311.6,5.8,50x40x8,2025-05-23,2025-05-23,2025-05-28,2025-05-28,Delivered,5
Dallas,Las Vegas,DHL,Fragile,104.8,2.3,46x24x22,2025-05-14,2025-05-14,2025-05-18,2025-05-18,Delivered,4
Houston,San Francisco,DHL,Express,280.6,5.1,49x22x15,2025-05-12,2025-05-12,2025-05-19,2025-05-19,Delivered,7
Atlanta,Los Angeles,FedEx,Express,270.9,5.6,27x26x10,2025-05-02,2025-05-02,2025-05-07,2025-05-07,Delivered,5
Boston,San Francisco,UPS,Fragile,304.0,3.6,15x35x29,2025-05-07,2025-05-08,2025-05-10,2025-05-12,Delivered,4
Philadelphia,Orlando,UPS,Standard,167.6,4.5,44x10x28,2025-05-26,2025-05-26,2025-05-30,2025-06-01,Delivered,6
San Diego,Miami,UPS,Express,136.2,2.4,35x37x9,2025-05-25,2025-05-25,2025-05-30,2025-06-01,Delivered,7
Boston,San Francisco,UPS,Fragile,332.6,4.5,43x11x29,2025-05-25,2025-05-25,2025-05-31,2025-06-01,Disrupted,7
New York,Orlando,UPS,Standard,173.8,3.3,35x36x22,2025-05-18,2025-05-18,2025-05-23,2025-05-23,Delivered,5
Philadelphia,Miami,UPS,Standard,213.8,5.0,43x17x22,2025-05-08,2025-05-08,2025-05-11,2025-05-11,Delivered,3
Detroit,Seattle,FedEx,Fragile,224.3,2.8,43x22x13,2025-05-25,2025-05-25,2025-05-29,2025-05-29,Delivered,4
Boston,Phoenix,DHL,Standard,152.9,2.2,34x37x9,2025-05-02,2025-05-03,2025-05-04,2025-05-05,Delivered,2
Philadelphia,Los Angeles,FedEx,Fragile,225.0,4.4,48x34x9,2025-05-20,2025-05-20,2025-05-27,2025-05-29,Disrupted,9
Dallas,Las Vegas,FedEx,Fragile,278.2,5.0,25x34x18,2025-05-09,2025-05-10,2025-05-14,2025-05-14,Delivered,4
Philadelphia,Denver,UPS,Fragile,98.4,3.2,43x25x26,2025-05-13,2025-05-13,2025-05-19,2025-05-21,Delivered,8
Philadelphia,Denver,UPS,Standard,277.2,4.8,34x32x30,2025-05-17,2025-05-18,2025-05-22,2025-05-22,Delivered,4
Philadelphia,Denver,FedEx,Standard,146.4,3.8,44x34x19,2025-05-17,2025-05-18,2025-05-21,2025-05-23,Delivered,5
Dallas,Seattle,UPS,Express,115.4,3.3,50x30x22,2025-05-17,2025-05-18,2025-05-22,2025-05-22,Delivered,4
Boston,Orlando,DHL,Fragile,75.7,3.7,24x34x17,2025-05-27,2025-05-27,2025-06-02,2025-06-02,Delivered,6
Philadelphia,Los Angeles,UPS,Fragile,194.3,2.7,41x37x25,2025-05-09,2025-05-09,2025-05-10,2025-05-10,Delivered,1
Detroit,San Francisco,UPS,Standard,276.8,3.4,40x20x9,2025-05-14,2025-05-14,2025-05-20,2025-05-20,Disrupted,6
Miami,Austin,FedEx,Standard,273.1,5.0,16x32x26,2025-05-02,2025-05-02,2025-05-05,2025-05-05,Delivered,3
San Diego,San Francisco,DHL,Fragile,150.3,3.2,48x25x12,2025-05-10,2025-05-10,2025-05-11,2025-05-11,Delayed,1
Chicago,San Francisco,UPS,Express,191.1,3.0,38x33x11,2025-05-23,2025-05-23,2025-05-28,2025-05-28,Delayed,5
Detroit,Las Vegas,UPS,Standard,137.3,2.2,26x11x21,2025-05-29,2025-05-29,2025-06-01,2025-06-01,Delivered,3
Houston,Phoenix,UPS,Standard,53.2,2.6,42x10x22,2025-05-07,2025-05-07,2025-05-12,2025-05-12,Delivered,5
Miami,Orlando,DHL,Express,233.7,3.6,45x16x30,2025-05-06,2025-05-07,2025-05-09,2025-05-09,Delivered,2
Boston,Denver,DHL,Standard,76.8,3.4,39x38x8,2025-05-16,2025-05-17,2025-05-21,2025-05-22,Delivered,5
Houston,Houston,UPS,Standard,226.2,3.9,15x34x18,2025-05-21,2025-05-21,2025-05-23,2025-05-24,Delivered,3
Chicago,San Francisco,FedEx,Standard,61.6,1.5,48x13x8,2025-05-19,2025-05-20,2025-05-26,2025-05-26,Disrupted,6
San Diego,Denver,FedEx,Express,153.2,2.1,40x33x24,2025-05-25,2025-05-25,2025-05-29,2025-05-31,Delivered,6
San Diego,Seattle,FedEx,Express,304.6,4.2,17x40x23,2025-05-28,2025-05-28,2025-06-01,2025-06-01,Delayed,4
Miami,Denver,DHL,Express,91.9,3.8,19x35x26,2025-05-10,2025-05-10,2025-05-14,2025-05-14,Delivered,4
Philadelphia,Orlando,DHL,Express,133.8,2.0,15x18x18,2025-05-09,2025-05-09,2025-05-14,2025-05-14,Delivered,5
New York,Orlando,DHL,Express,81.9,1.6,40x40x20,2025-05-13,2025-05-13,2025-05-17,2025-05-19,Delivered,6
Chicago,Seattle,DHL,Fragile,133.2,3.1,33x21x29,2025-05-28,2025-05-28,2025-06-01,2025-06-01,Delivered,4
New York,Phoenix,UPS,Express,50.5,3.2,35x29x19,2025-05-19,2025-05-19,2025-05-26,2025-05-26,Delivered,7
Boston,Las Vegas,DHL,Express,267.3,5.0,17x18x28,2025-05-14,2025-05-14,2025-05-20,2025-05-20,Disrupted,6
Houston,Austin,FedEx,Express,196.5,4.4,40x37x19,2025-05-27,2025-05-27,2025-06-01,2025-06-01,Delivered,5
Miami,San Francisco,DHL,Standard,91.7,2.0,26x23x12,2025-05-02,2025-05-02,2025-05-06,2025-05-07,Delivered,5
Houston,Los Angeles,DHL,Fragile,250.3,4.9,48x25x17,2025-05-27,2025-05-28,2025-05-30,2025-05-30,Delivered,2
Atlanta,Los Angeles,UPS,Standard,117.2,3.5,22x24x21,2025-05-12,2025-05-12,2025-05-17,2025-05-17,Delivered,5
Miami,Houston,FedEx,Fragile,307.1,4.1,39x28x30,2025-05-08,2025-05-08,2025-05-11,2025-05-12,Delivered,4
Miami,Austin,DHL,Standard,162.8,3.9,39x31x19,2025-05-12,2025-05-12,2025-05-13,2025-05-13,Delivered,1
Boston,Denver,FedEx,Express,331.1,4.1,36x10x20,2025-05-10,2025-05-10,2025-05-17,2025-05-18,Delivered,8
San Diego,San Francisco,DHL,Standard,87.0,2.7,32x16x15,2025-05-06,2025-05-06,2025-05-07,2025-05-09,Delayed,3
Dallas,Los Angeles,UPS,Fragile,166.5,4.3,38x19x16,2025-05-05,2025-05-05,2025-05-10,2025-05-12,Delivered,7
Miami,San Francisco,DHL,Standard,96.8,2.5,34x28x8,2025-05-06,2025-05-07,2025-05-13,2025-05-13,Delivered,6
New York,Phoenix,FedEx,Express,179.1,4.7,29x40x8,2025-05-06,2025-05-07,2025-05-12,2025-05-12,Delivered,5
San Diego,Denver,DHL,Standard,170.4,3.1,16x10x25,2025-05-12,2025-05-13,2025-05-13,2025-05-13,Delivered,0
Philadelphia,Los Angeles,UPS,Fragile,270.3,5.6,45x14x25,2025-05-20,2025-05-20,2025-05-25,2025-05-26,Delivered,6
Houston,Austin,UPS,Express,225.4,4.6,21x35x22,2025-05-29,2025-05-29,2025-06-02,2025-06-04,Delayed,6
New York,Austin,DHL,Fragile,281.5,5.0,24x15x19,2025-05-19,2025-05-20,2025-05-26,2025-05-26,Delivered,6
Houston,Los Angeles,FedEx,Fragile,289.5,3.8,26x19x15,2025-05-03,2025-05-03,2025-05-05,2025-05-05,Delivered,2
Philadelphia,Denver,UPS,Fragile,328.7,5.0,21x22x29,2025-05-13,2025-05-14,2025-05-17,2025-05-19,Delayed,5
San Diego,Houston,UPS,Standard,292.1,3.4,49x33x15,2025-05-30,2025-05-30,2025-05-31,2025-05-31,Delivered,1
Dallas,Houston,DHL,Express,185.8,3.7,26x38x29,2025-05-20,2025-05-20,2025-05-25,2025-05-27,Delivered,7
Philadelphia,Denver,DHL,Standard,109.3,3.4,19x40x13,2025-05-01,2025-05-01,2025-05-04,2025-05-04,Delivered,3
Detroit,Phoenix,UPS,Express,239.1,3.7,20x30x18,2025-05-27,2025-05-27,2025-05-28,2025-05-28,Delivered,1
Philadelphia,Seattle,UPS,Standard,71.4,3.3,32x27x21,2025-05-10,2025-05-10,2025-05-17,2025-05-17,Delivered,7
Chicago,Austin,UPS,Standard,234.1,3.2,50x12x25,2025-05-10,2025-05-11,2025-05-17,2025-05-17,Delivered,6
Atlanta,Houston,DHL,Standard,254.7,4.4,32x13x22,2025-05-07,2025-05-08,2025-05-09,2025-05-09,Delivered,1
Atlanta,Miami,DHL,Standard,116.4,3.4,37x18x27,2025-05-15,2025-05-15,2025-05-21,2025-05-21,Delivered,6
Houston,Las Vegas,DHL,Express,99.5,3.9,20x36x27,2025-05-02,2025-05-03,2025-05-07,2025-05-09,Delivered,6
San Diego,Las Vegas,UPS,Express,273.3,5.1,28x24x11,2025-05-08,2025-05-08,2025-05-10,2025-05-10,Delivered,2
Atlanta,San Francisco,UPS,Express,272.1,4.0,23x33x27,2025-05-12,2025-05-12,2025-05-13,2025-05-13,Disrupted,1
San Diego,Seattle,FedEx,Fragile,145.7,2.9,43x28x22,2025-05-08,2025-05-09,2025-05-14,2025-05-14,Delayed,5
Chicago,Houston,DHL,Fragile,345.6,5.7,21x21x18,2025-05-21,2025-05-21,2025-05-23,2025-05-23,Delivered,2
Detroit,Denver,DHL,Standard,72.7,3.4,47x22x15,2025-05-27,2025-05-27,2025-05-30,2025-05-30,Delivered,3
Dallas,Los Angeles,DHL,Fragile,126.0,3.9,47x40x14,2025-05-26,2025-05-26,2025-06-01,2025-06-03,Delivered,8
Houston,Miami,FedEx,Fragile,115.2,3.8,48x32x29,2025-05-06,2025-05-06,2025-05-12,2025-05-12,Delivered,6
Atlanta,Las Vegas,UPS,Fragile,53.9,2.8,27x19x30,2025-05-29,2025-05-29,2025-06-01,2025-06-01,Delivered,3
Detroit,Austin,FedEx,Standard,233.0,3.8,16x32x8,2025-05-14,2025-05-14,2025-05-19,2025-05-19,Delivered,5
Philadelphia,San Francisco,DHL,Express,290.6,4.9,29x32x30,2025-05-01,2025-05-01,2025-05-02,2025-05-02,Delivered,1
Miami,Seattle,UPS,Fragile,328.8,5.4,38x11x9,2025-05-23,2025-05-23,2025-05-29,2025-05-29,Disrupted,6
Atlanta,San Francisco,DHL,Standard,137.6,3.9,36x24x17,2025-05-27,2025-05-28,2025-06-02,2025-06-04,Delivered,7
Detroit,Las Vegas,UPS,Express,126.2,1.9,33x20x30,2025-05-19,2025-05-19,2025-05-22,2025-05-22,Delivered,3
San Diego,Las Vegas,UPS,Express,271.9,5.2,34x16x27,2025-05-22,2025-05-22,2025-05-26,2025-05-26,Delivered,4
Boston,Miami,DHL,Standard,114.9,3.4,48x36x9,2025-05-10,2025-05-10,2025-05-11,2025-05-11,Delivered,1
Houston,Houston,FedEx,Standard,159.3,2.4,40x38x28,2025-05-30,2025-05-30,2025-06-01,2025-06-03,Delivered,4
Houston,Houston,UPS,Standard,282.8,5.3,23x21x29,2025-05-13,2025-05-13,2025-05-15,2025-05-16,Delivered,3
San Diego,Los Angeles,UPS,Fragile,221.8,3.4,38x16x8,2025-05-16,2025-05-16,2025-05-19,2025-05-19,Disrupted,3
Atlanta,Miami,DHL,Express,234.4,5.3,22x34x27,2025-05-08,2025-05-08,2025-05-09,2025-05-11,Delivered,3
Miami,Las Vegas,FedEx,Express,184.8,3.7,35x15x8,2025-05-06,2025-05-06,2025-05-08,2025-05-08,Delayed,2
Dallas,Orlando,DHL,Fragile,148.7,3.3,15x22x14,2025-05-21,2025-05-21,2025-05-23,2025-05-23,Delivered,2
Philadelphia,Los Angeles,DHL,Express,114.0,2.7,26x28x27,2025-05-12,2025-05-12,2025-05-17,2025-05-17,Delivered,5
New York,Orlando,UPS,Express,221.9,5.2,27x17x30,2025-05-07,2025-05-08,2025-05-10,2025-05-10,Delivered,2
Boston,Las Vegas,UPS,Standard,127.0,3.0,15x17x28,2025-05-12,2025-05-12,2025-05-18,2025-05-18,Delivered,6
Detroit,Houston,FedEx,Fragile,243.8,4.7,30x19x19,2025-05-10,2025-05-11,2025-05-12,2025-05-13,Disrupted,2
Detroit,Las Vegas,UPS,Fragile,121.3,4.0,20x31x28,2025-05-05,2025-05-05,2025-05-10,2025-05-10,Delivered,5
Miami,Austin,DHL,Express,293.5,5.1,24x10x15,2025-05-09,2025-05-09,2025-05-14,2025-05-16,Delivered,7
Miami,Phoenix,DHL,Standard,333.6,6.0,23x22x30,2025-05-10,2025-05-10,2025-05-14,2025-05-14,Delivered,4
Detroit,Seattle,UPS,Express,248.2,5.2,47x28x8,2025-05-26,2025-05-26,2025-05-30,2025-05-30,Delivered,4
San Diego,Miami,UPS,Fragile,269.0,4.8,23x36x16,2025-05-09,2025-05-09,2025-05-15,2025-05-15,Disrupted,6
Chicago,Las Vegas,UPS,Fragile,264.6,4.0,41x22x25,2025-05-27,2025-05-28,2025-05-31,2025-05-31,Delivered,3
Philadelphia,Orlando,UPS,Standard,121.4,4.1,47x25x17,2025-05-25,2025-05-25,2025-05-29,2025-05-29,Delayed,4
Atlanta,Los Angeles,DHL,Express,93.5,3.8,26x33x19,2025-05-17,2025-05-17,2025-05-24,2025-05-24,Delivered,7
Atlanta,Los Angeles,FedEx,Fragile,218.0,5.0,45x24x13,2025-05-31,2025-05-31,2025-06-05,2025-06-05,Disrupted,5
Atlanta,Miami,DHL,Standard,129.7,3.5,41x21x14,2025-05-01,2025-05-01,2025-05-02,2025-05-02,Delivered,1
Houston,San Francisco,FedEx,Fragile,117.0,2.5,26x33x20,2025-05-06,2025-05-07,2025-05-11,2025-05-12,Delivered,5
Dallas,Denver,DHL,Fragile,295.1,4.0,40x37x15,2025-05-13,2025-05-14,2025-05-17,2025-05-17,Delivered,3
San Diego,Houston,DHL,Standard,158.1,4.1,50x13x8,2025-05-27,2025-05-27,2025-06-03,2025-06-05,Delivered,9
New York,Las Vegas,DHL,Standard,269.2,5.2,50x14x18,2025-05-26,2025-05-26,2025-05-27,2025-05-27,Disrupted,1
Boston,Miami,UPS,Express,326.6,4.3,29x28x12,2025-05-30,2025-05-30,2025-06-06,2025-06-08,Delivered,9
Chicago,Seattle,DHL,Express,126.9,2.0,45x24x27,2025-05-20,2025-05-20,2025-05-22,2025-05-22,Disrupted,2
Chicago,Orlando,DHL,Express,85.2,3.1,35x18x23,2025-05-09,2025-05-09,2025-05-13,2025-05-13,Delivered,4
New York,Austin,FedEx,Fragile,165.2,3.0,17x20x14,2025-05-16,2025-05-16,2025-05-21,2025-05-21,Delayed,5
Boston,Miami,DHL,Express,212.0,4.4,47x17x8,2025-05-16,2025-05-16,2025-05-20,2025-05-20,Delivered,4
Miami,Las Vegas,FedEx,Express,60.8,1.7,45x37x17,2025-05-27,2025-05-28,2025-06-02,2025-06-02,Delivered,5
Dallas,Denver,UPS,Standard,267.1,3.4,48x36x9,2025-05-29,2025-05-29,2025-05-31,2025-05-31,Delivered,2
Atlanta,Miami,FedEx,Express,225.4,2.9,37x31x9,2025-05-26,2025-05-26,2025-06-02,2025-06-03,Delivered,8
Detroit,Los Angeles,DHL,Fragile,103.2,2.3,15x25x20,2025-05-03,2025-05-04,2025-05-08,2025-05-08,Disrupted,4
New York,Las Vegas,UPS,Standard,149.9,3.1,45x13x14,2025-05-27,2025-05-27,2025-05-30,2025-05-30,Delivered,3
Philadelphia,San Francisco,DHL,Fragile,140.3,3.4,26x32x22,2025-05-08,2025-05-09,2025-05-11,2025-05-11,Delivered,2
Chicago,San Francisco,UPS,Express,136.5,3.2,32x23x15,2025-05-28,2025-05-28,2025-05-30,2025-05-30,Delivered,2
Miami,Orlando,DHL,Standard,180.4,3.9,28x34x24,2025-05-23,2025-05-24,2025-05-25,2025-05-25,Delayed,1
Boston,Los Angeles,FedEx,Express,193.3,3.9,36x20x10,2025-05-05,2025-05-06,2025-05-07,2025-05-07,Delayed,1
New York,Miami,FedEx,Standard,311.8,4.4,33x39x11,2025-05-16,2025-05-16,2025-05-19,2025-05-21,Delivered,5
New York,Orlando,DHL,Express,141.3,3.2,45x13x20,2025-05-05,2025-05-06,2025-05-08,2025-05-08,Delivered,2
New York,Seattle,FedEx,Standard,241.0,3.1,27x29x26,2025-05-26,2025-05-26,2025-05-27,2025-05-27,Delivered,1
Detroit,Denver,FedEx,Express,331.7,5.5,27x13x23,2025-05-30,2025-05-31,2025-05-31,2025-05-31,Delivered,0
Chicago,Seattle,DHL,Fragile,326.0,5.1,29x34x24,2025-05-02,2025-05-02,2025-05-08,2025-05-08,Delivered,6
Detroit,Los Angeles,DHL,Express,348.3,5.3,23x15x29,2025-05-12,2025-05-12,2025-05-19,2025-05-19,Delayed,7
Detroit,Austin,DHL,Express,194.8,2.5,31x23x25,2025-05-30,2025-05-31,2025-06-01,2025-06-01,Delivered,1
Miami,Austin,UPS,Express,304.2,5.5,42x33x11,2025-05-31,2025-05-31,2025-06-06,2025-06-08,Delivered,8
Atlanta,Denver,UPS,Standard,274.6,5.3,16x37x10,2025-05-04,2025-05-04,2025-05-11,2025-05-11,Delayed,7
New York,Los Angeles,FedEx,Express,347.8,5.6,26x15x22,2025-05-21,2025-05-21,2025-05-26,2025-05-28,Delivered,7
Atlanta,San Francisco,UPS,Express,163.0,3.7,18x36x9,2025-05-13,2025-05-13,2025-05-18,2025-05-18,Delivered,5
Atlanta,Austin,DHL,Express,317.3,5.5,38x26x8,2025-05-29,2025-05-30,2025-06-01,2025-06-01,Delivered,2
Houston,Orlando,UPS,Express,128.0,3.4,22x40x20,2025-05-01,2025-05-01,2025-05-07,2025-05-09,Delivered,8
San Diego,Denver,FedEx,Express,265.2,5.2,42x32x25,2025-05-03,2025-05-03,2025-05-06,2025-05-07,Delivered,4
Philadelphia,Houston,UPS,Fragile,245.2,3.9,28x23x27,2025-05-15,2025-05-15,2025-05-21,2025-05-21,Delayed,6
Boston,Houston,FedEx,Express,307.3,4.8,30x34x27,2025-05-27,2025-05-27,2025-05-31,2025-05-31,Delivered,4
Chicago,San Francisco,UPS,Fragile,233.5,3.6,39x34x17,2025-05-08,2025-05-08,2025-05-13,2025-05-13,Delivered,5
San Diego,San Francisco,UPS,Fragile,343.9,4.0,37x15x15,2025-05-10,2025-05-10,2025-05-14,2025-05-14,Delivered,4
Boston,Los Angeles,FedEx,Express,267.3,4.2,49x21x17,2025-05-21,2025-05-21,2025-05-26,2025-05-26,Delivered,5
New York,Seattle,DHL,Standard,119.8,2.0,25x14x26,2025-05-21,2025-05-21,2025-05-28,2025-05-28,Delivered,7
Philadelphia,Seattle,UPS,Fragile,335.6,4.6,31x32x24,2025-05-24,2025-05-24,2025-05-29,2025-05-29,Delayed,5
San Diego,Los Angeles,UPS,Express,294.4,5.3,44x16x17,2025-05-23,2025-05-23,2025-05-28,2025-05-28,Delivered,5
Atlanta,Houston,DHL,Standard,169.2,2.4,38x27x29,2025-05-31,2025-05-31,2025-06-01,2025-06-01,Delivered,1
Philadelphia,Seattle,UPS,Fragile,125.9,3.9,18x38x22,2025-05-25,2025-05-25,2025-05-31,2025-05-31,Delivered,6
Miami,Orlando,UPS,Fragile,185.1,2.7,23x29x28,2025-05-06,2025-05-06,2025-05-09,2025-05-09,Delivered,3
Houston,Austin,DHL,Express,133.8,2.9,40x24x16,2025-05-15,2025-05-15,2025-05-20,2025-05-22,Delivered,7
Dallas,Denver,UPS,Fragile,85.7,2.0,22x13x23,2025-05-04,2025-05-04,2025-05-05,2025-05-05,Delivered,1
New York,Denver,DHL,Fragile,224.4,4.4,25x40x23,2025-05-29,2025-05-29,2025-06-02,2025-06-04,Delivered,6
Houston,Orlando,UPS,Fragile,331.0,5.0,33x11x30,2025-05-04,2025-05-04,2025-05-08,2025-05-10,Delayed,6
Boston,Denver,FedEx,Express,224.2,3.5,15x27x17,2025-05-10,2025-05-10,2025-05-15,2025-05-15,Delayed,5
Chicago,Houston,UPS,Fragile,306.5,4.7,24x36x29,2025-05-09,2025-05-09,2025-05-15,2025-05-17,Delivered,8
Detroit,Houston,DHL,Standard,124.8,2.5,23x16x23,2025-05-18,2025-05-18,2025-05-22,2025-05-24,Delivered,6
Philadelphia,San Francisco,FedEx,Fragile,278.0,3.4,48x39x20,2025-05-22,2025-05-22,2025-05-24,2025-05-25,Delivered,3
Boston,Los Angeles,FedEx,Standard,121.2,2.5,33x19x8,2025-05-30,2025-05-30,2025-06-01,2025-06-01,Delivered,2
San Diego,Houston,UPS,Standard,272.4,4.5,35x11x11,2025-05-26,2025-05-27,2025-06-01,2025-06-01,Delivered,5
Miami,Miami,FedEx,Express,292.1,4.0,28x23x8,2025-05-28,2025-05-28,2025-06-03,2025-06-03,Delivered,6
San Diego,Austin,UPS,Standard,285.5,4.3,40x29x17,2025-05-21,2025-05-21,2025-05-26,2025-05-28,Delivered,7
Dallas,Austin,UPS,Express,213.4,3.1,20x18x9,2025-05-20,2025-05-20,2025-05-26,2025-05-26,Delivered,6
Atlanta,Seattle,DHL,Standard,148.8,4.0,35x20x23,2025-05-18,2025-05-18,2025-05-20,2025-05-22,Delivered,4
Boston,Seattle,UPS,Express,171.4,4.5,21x22x20,2025-05-20,2025-05-20,2025-05-23,2025-05-23,Delivered,3
San Diego,Orlando,FedEx,Express,299.9,5.3,23x38x27,2025-05-05,2025-05-05,2025-05-09,2025-05-09,Delivered,4
Dallas,Los Angeles,DHL,Express,88.7,3.2,30x26x16,2025-05-13,2025-05-13,2025-05-19,2025-05-19,Delivered,6
Boston,Denver,DHL,Standard,269.2,5.3,42x26x21,2025-05-07,2025-05-08,2025-05-14,2025-05-14,Delivered,6
San Diego,Las Vegas,UPS,Express,150.7,3.5,29x23x9,2025-05-03,2025-05-03,2025-05-05,2025-05-07,Delivered,4
Atlanta,Miami,UPS,Express,178.9,4.4,33x25x9,2025-05-05,2025-05-06,2025-05-11,2025-05-13,Delivered,7
Boston,Houston,FedEx,Standard,321.6,3.8,40x35x18,2025-05-26,2025-05-26,2025-06-01,2025-06-01,Delivered,6
Dallas,Las Vegas,UPS,Fragile,51.1,1.8,16x36x13,2025-05-25,2025-05-25,2025-05-28,2025-05-28,Delivered,3
Philadelphia,Denver,UPS,Express,187.3,3.1,32x22x20,2025-05-18,2025-05-18,2025-05-21,2025-05-21,Delivered,3
San Diego,Phoenix,FedEx,Fragile,327.6,4.9,34x23x30,2025-05-31,2025-05-31,2025-06-06,2025-06-06,Disrupted,6
Houston,Seattle,FedEx,Fragile,326.9,6.2,39x27x19,2025-05-03,2025-05-03,2025-05-09,2025-05-09,Delivered,6
Detroit,Seattle,FedEx,Standard,281.0,3.4,47x29x28,2025-05-06,2025-05-06,2025-05-10,2025-05-10,Delayed,4
Chicago,Orlando,FedEx,Standard,302.6,5.8,44x29x15,2025-05-16,2025-05-17,2025-05-20,2025-05-20,Delayed,3
Detroit,Phoenix,UPS,Fragile,314.2,5.3,26x38x29,2025-05-17,2025-05-18,2025-05-21,2025-05-21,Delayed,3
Detroit,Los Angeles,UPS,Fragile,282.1,4.8,29x25x13,2025-05-23,2025-05-23,2025-05-30,2025-05-31,Delayed,8
Philadelphia,Phoenix,DHL,Fragile,85.7,3.3,34x28x10,2025-05-06,2025-05-06,2025-05-08,2025-05-08,Delivered,2
Boston,San Francisco,FedEx,Standard,179.6,3.3,25x17x12,2025-05-15,2025-05-15,2025-05-22,2025-05-22,Delivered,7
Boston,Orlando,FedEx,Fragile,59.1,3.5,43x21x30,2025-05-27,2025-05-27,2025-05-29,2025-05-31,Delayed,4
Philadelphia,Seattle,UPS,Standard,267.1,3.5,40x10x23,2025-05-13,2025-05-13,2025-05-18,2025-05-20,Delayed,7
New York,Phoenix,FedEx,Express,71.2,2.4,38x22x9,2025-05-07,2025-05-07,2025-05-11,2025-05-11,Delivered,4
Detroit,Austin,DHL,Express,149.6,2.2,46x28x9,2025-05-24,2025-05-25,2025-05-26,2025-05-26,Delivered,1
Philadelphia,Miami,FedEx,Express,66.7,1.4,25x22x27,2025-05-02,2025-05-02,2025-05-08,2025-05-08,Delivered,6
Philadelphia,Orlando,DHL,Express,174.2,2.5,31x12x13,2025-05-25,2025-05-25,2025-05-27,2025-05-27,Disrupted,2
Dallas,Phoenix,UPS,Express,290.8,5.3,22x40x27,2025-05-30,2025-05-30,2025-06-03,2025-06-03,Delivered,4
San Diego,Las Vegas,DHL,Express,308.6,4.5,36x19x11,2025-05-13,2025-05-13,2025-05-16,2025-05-16,Delivered,3
Boston,Houston,DHL,Fragile,281.9,4.0,19x15x27,2025-05-01,2025-05-01,2025-05-05,2025-05-05,Delayed,4
Miami,Los Angeles,FedEx,Fragile,108.1,2.5,38x21x29,2025-05-23,2025-05-23,2025-05-26,2025-05-27,Delivered,4
San Diego,Los Angeles,DHL,Standard,188.3,2.9,33x40x29,2025-05-01,2025-05-02,2025-05-02,2025-05-04,Disrupted,2
Atlanta,Austin,UPS,Express,174.4,3.4,44x24x17,2025-05-06,2025-05-06,2025-05-11,2025-05-13,Delivered,7
Dallas,Seattle,UPS,Standard,344.0,6.1,42x35x23,2025-05-25,2025-05-25,2025-05-27,2025-05-27,Delivered,2
Miami,Miami,UPS,Standard,247.8,3.7,28x11x19,2025-05-26,2025-05-26,2025-05-27,2025-05-28,Delivered,2
Atlanta,Seattle,UPS,Express,69.6,2.7,34x38x8,2025-05-19,2025-05-20,2025-05-20,2025-05-20,Delivered,0
